tipo,latitude,longitude,bright,date,admin2,admin3,country_code,country_es
24h,61.21674,17.15181,346.61, 3 de agosto,Söderhamns kommun,Gävleborgs län,SE,Suecia
24h,65.76865,24.19435,332.77, 3 de agosto,Tornio,Lapin aluehallintovirasto,FI,Finlandia
24h,41.15295,15.78069,343.56, 3 de agosto,Cerignola,Puglia,IT,Italia
24h,37.58086,12.73013,355.64, 3 de agosto,Campobello di Mazara,Sicilia,IT,Italia
24h,37.58524,12.734069999999999,337.76, 3 de agosto,Campobello di Mazara,Sicilia,IT,Italia
24h,37.58434,12.72912,356.18, 3 de agosto,Campobello di Mazara,Sicilia,IT,Italia
24h,38.1187,15.71761,344.71, 3 de agosto,Reggio di Calabria,Calabria,IT,Italia
24h,38.12197,15.7168,349.78, 3 de agosto,Reggio di Calabria,Calabria,IT,Italia
24h,38.31245,16.25178,345.81, 3 de agosto,Mammola,Calabria,IT,Italia
24h,38.32209,15.91147,336.33, 3 de agosto,San Procopio,Calabria,IT,Italia
24h,38.32537,15.91066,348, 3 de agosto,San Procopio,Calabria,IT,Italia
24h,37.86597,13.09301,340.9, 3 de agosto,Monreale,Sicilia,IT,Italia
24h,37.87112,13.1017,349.73, 3 de agosto,Monreale,Sicilia,IT,Italia
24h,37.87025,13.09683,346.98, 3 de agosto,Monreale,Sicilia,IT,Italia
24h,37.8694,13.09204,346.91, 3 de agosto,Monreale,Sicilia,IT,Italia
24h,37.87454,13.10074,346.89, 3 de agosto,Monreale,Sicilia,IT,Italia
24h,37.94104,12.97869,345.32, 3 de agosto,Alcamo,Sicilia,IT,Italia
24h,37.94537,12.98272,336.62, 3 de agosto,Alcamo,Sicilia,IT,Italia
24h,37.9445,12.97791,351.35, 3 de agosto,Alcamo,Sicilia,IT,Italia
24h,38.00428,13.09103,340.2, 3 de agosto,Partinico,Sicilia,IT,Italia
24h,37.95819,12.58875,348.02, 3 de agosto,Paceco,Sicilia,IT,Italia
24h,38.62709,16.16995,334.33, 3 de agosto,Stefanaconi,Calabria,IT,Italia
24h,39.86089,28.06214,333.68, 3 de agosto,Susurluk,Balıkesir,TR,Turquía
24h,39.86645,28.06081,345.52, 3 de agosto,Susurluk,Balıkesir,TR,Turquía
24h,38.93253,16.39431,335.2, 3 de agosto,Serrastretta,Calabria,IT,Italia
24h,39.5837,16.78681,337.88, 3 de agosto,Mirto,Calabria,IT,Italia
24h,40.08291,18.13183,345.98, 3 de agosto,Neviano,Puglia,IT,Italia
24h,40.20779,17.93951,344.55, 3 de agosto,Nardò,Puglia,IT,Italia
